target,model,auroc_mean,auroc_std,pooled_auroc,pooled_auroc_lo,pooled_auroc_hi,pooled_auprc,pooled_auprc_lo,pooled_auprc_hi
ER_status,Mean-pool + LR,0.5536,0.0652,0.548,0.4465,0.6419,0.7859,0.7074,0.8589
ER_status,CLAM-SB,0.5124,0.066,0.5087,0.4125,0.6073,0.7623,0.6787,0.8484
ER_status,Tumor-Aware CLAM,0.4986,0.0496,0.4968,0.4039,0.5896,0.7589,0.6823,0.8437
PR_status,Mean-pool + LR,0.5649,0.0693,0.5587,0.4648,0.6448,0.7451,0.6543,0.8297
PR_status,CLAM-SB,0.5736,0.0987,0.5595,0.4606,0.6478,0.7316,0.653,0.8206
PR_status,Tumor-Aware CLAM,0.5716,0.1201,0.5414,0.4388,0.6378,0.7186,0.635,0.8091
HER2_status,Mean-pool + LR,0.6226,0.1196,0.6033,0.4997,0.7166,0.3158,0.2163,0.4888
HER2_status,CLAM-SB,0.4734,0.1022,0.4527,0.3252,0.5742,0.2194,0.1494,0.3379
HER2_status,Tumor-Aware CLAM,0.5089,0.0883,0.4581,0.344,0.574,0.2197,0.1496,0.3437

| Target      | Model            | AUROC Mean | AUROC Std | Pooled AUROC | AUROC 95% CI  | Pooled AUPRC | AUPRC 95% CI  |
| ----------- | ---------------- | ---------: | --------: | -----------: | ------------- | -----------: | ------------- |
| ER_status   | Mean-pool + LR   |     0.5536 |    0.0652 |       0.5480 | 0.4465–0.6419 |       0.7859 | 0.7074–0.8589 |
| ER_status   | CLAM-SB          |     0.5124 |    0.0660 |       0.5087 | 0.4125–0.6073 |       0.7623 | 0.6787–0.8484 |
| ER_status   | Tumor-Aware CLAM |     0.4986 |    0.0496 |       0.4968 | 0.4039–0.5896 |       0.7589 | 0.6823–0.8437 |
| PR_status   | Mean-pool + LR   |     0.5649 |    0.0693 |       0.5587 | 0.4648–0.6448 |       0.7451 | 0.6543–0.8297 |
| PR_status   | CLAM-SB          |     0.5736 |    0.0987 |       0.5595 | 0.4606–0.6478 |       0.7316 | 0.6530–0.8206 |
| PR_status   | Tumor-Aware CLAM |     0.5716 |    0.1201 |       0.5414 | 0.4388–0.6378 |       0.7186 | 0.6350–0.8091 |
| HER2_status | Mean-pool + LR   |     0.6226 |    0.1196 |       0.6033 | 0.4997–0.7166 |       0.3158 | 0.2163–0.4888 |
| HER2_status | CLAM-SB          |     0.4734 |    0.1022 |       0.4527 | 0.3252–0.5742 |       0.2194 | 0.1494–0.3379 |
| HER2_status | Tumor-Aware CLAM |     0.5089 |    0.0883 |       0.4581 | 0.3440–0.5740 |       0.2197 | 0.1496–0.3437 |
