encoder,target,split,model,auroc,auprc,balanced_acc,brier
conch,ER_status,test,CLAM-SB,0.5442,0.8087,0.5,0.1932
resnet50,ER_status,test,CLAM-SB,0.5901,0.8274,0.6491,0.2029
uni,ER_status,test,CLAM-SB,0.559,0.8113,0.528,0.2286
conch,ER_status,test,Mean-pool + LR,0.2993,0.6822,0.3095,0.4091
resnet50,ER_status,test,Mean-pool + LR,0.4099,0.7532,0.4907,0.3593
uni,ER_status,test,Mean-pool + LR,0.5,0.7649,0.5839,0.3124
conch,ER_status,test,Tumor-Aware CLAM,0.5306,0.793,0.5,0.199
resnet50,ER_status,test,Tumor-Aware CLAM,0.5404,0.7993,0.4783,0.1881
uni,ER_status,test,Tumor-Aware CLAM,0.6646,0.8726,0.6273,0.2091
conch,ER_status,val,CLAM-SB,0.614,0.8581,0.5,0.1786
resnet50,ER_status,val,CLAM-SB,0.85,0.9528,0.5929,0.1514
uni,ER_status,val,CLAM-SB,0.7929,0.9277,0.6429,0.1953
conch,ER_status,val,Mean-pool + LR,0.4825,0.7737,0.4825,0.3173
resnet50,ER_status,val,Mean-pool + LR,0.7786,0.9119,0.7571,0.1871
uni,ER_status,val,Mean-pool + LR,0.65,0.8405,0.6143,0.2248
conch,ER_status,val,Tumor-Aware CLAM,0.5877,0.8453,0.5,0.1778
resnet50,ER_status,val,Tumor-Aware CLAM,0.8214,0.9431,0.5,0.1708
uni,ER_status,val,Tumor-Aware CLAM,0.7571,0.899,0.6179,0.1661
conch,HER2_status,test,CLAM-SB,0.625,0.3146,0.4583,0.2252
resnet50,HER2_status,test,CLAM-SB,0.5789,0.3064,0.4684,0.2829
uni,HER2_status,test,CLAM-SB,0.5158,0.2564,0.3895,0.4037
conch,HER2_status,test,Mean-pool + LR,0.5556,0.2338,0.5556,0.2925
resnet50,HER2_status,test,Mean-pool + LR,0.6211,0.3413,0.6421,0.3162
uni,HER2_status,test,Mean-pool + LR,0.5158,0.2456,0.5158,0.34
conch,HER2_status,test,Tumor-Aware CLAM,0.6528,0.4473,0.5694,0.1791
resnet50,HER2_status,test,Tumor-Aware CLAM,0.6211,0.2978,0.5421,0.3184
uni,HER2_status,test,Tumor-Aware CLAM,0.4737,0.2465,0.4947,0.2931
conch,HER2_status,val,CLAM-SB,0.6667,0.4853,0.5,0.2498
resnet50,HER2_status,val,CLAM-SB,0.6556,0.4133,0.5167,0.2952
uni,HER2_status,val,CLAM-SB,0.5111,0.3689,0.4667,0.3927
conch,HER2_status,val,Mean-pool + LR,0.6026,0.411,0.5962,0.2858
resnet50,HER2_status,val,Mean-pool + LR,0.4556,0.2872,0.4833,0.3958
uni,HER2_status,val,Mean-pool + LR,0.6556,0.5138,0.5333,0.2807
conch,HER2_status,val,Tumor-Aware CLAM,0.6538,0.5552,0.5,0.2341
resnet50,HER2_status,val,Tumor-Aware CLAM,0.6222,0.374,0.5333,0.2984
uni,HER2_status,val,Tumor-Aware CLAM,0.5444,0.3328,0.4333,0.3129
conch,PR_status,test,CLAM-SB,0.6136,0.7386,0.5,0.2801
resnet50,PR_status,test,CLAM-SB,0.5808,0.7466,0.5,0.235
uni,PR_status,test,CLAM-SB,0.5505,0.7441,0.5152,0.3107
conch,PR_status,test,Mean-pool + LR,0.4318,0.6026,0.4659,0.388
resnet50,PR_status,test,Mean-pool + LR,0.5808,0.7302,0.4697,0.3606
uni,PR_status,test,Mean-pool + LR,0.5404,0.7154,0.5884,0.3477
conch,PR_status,test,Tumor-Aware CLAM,0.5966,0.7156,0.5,0.2451
resnet50,PR_status,test,Tumor-Aware CLAM,0.5556,0.7699,0.452,0.2446
uni,PR_status,test,Tumor-Aware CLAM,0.5404,0.6971,0.5,0.2638
conch,PR_status,val,CLAM-SB,0.6508,0.8611,0.5,0.2036
resnet50,PR_status,val,CLAM-SB,0.7697,0.9157,0.5,0.2006
uni,PR_status,val,CLAM-SB,0.6513,0.8351,0.6184,0.2294
conch,PR_status,val,Mean-pool + LR,0.4286,0.7289,0.4484,0.3623
resnet50,PR_status,val,Mean-pool + LR,0.5855,0.7565,0.5559,0.3024
uni,PR_status,val,Mean-pool + LR,0.6842,0.8691,0.5197,0.2598
conch,PR_status,val,Tumor-Aware CLAM,0.5873,0.8111,0.5,0.1999
resnet50,PR_status,val,Tumor-Aware CLAM,0.7368,0.8738,0.6711,0.1996
uni,PR_status,val,Tumor-Aware CLAM,0.6711,0.8542,0.5,0.2075
